id,college,city,state,score,rank
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.79,1
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,87.09,2
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,80.74,3
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,80.65,4
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,75.64,5
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,73.76,6
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,70.32,7
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,70.28,8
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,63.93,14
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.74,15
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,62.37,17
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,61.66,18
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,60.51,22
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,58.03,30
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,56.49,33
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,56.12,35
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,55.03,41
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,52.42,47
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.04,48
IR-E-U-0844,"Indian Institute of Technology, Tirupati",Yerpedu,Andhra Pradesh,49.8,59
IR-E-U-0906,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,48.15,67
IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,47.86,69
IR-E-U-0946,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,45.86,81
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,43.41,88
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,43.29,89
IR-E-U-0899,Indian Institute Of Technology Dharwad,Dharwad,Karnataka,42.36,93
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",Jabalpur,Madhya Pradesh,42.14,97
