id,college,city,state,score,rank
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,69.71,9
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,65.26,12
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,62.79,16
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,61.13,21
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,60.28,23
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,55.6,37
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,55.07,40
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,55.03,41
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,53.91,43
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,52.85,46
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.89,49
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,51.41,51
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,50.33,55
IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,50.16,56
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,49.89,58
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,49.0,65
IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,47.69,70
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,47.27,72
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,46.58,74
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,45.9,80
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,45.7,82
IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,43.28,90
IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,43.24,91
IR-E-U-0613,National Institute of Technology Manipur,Imphal,Manipur,42.28,95
